[58, 3, 7.356676540630111, 89, 'PopulationSize12', 'TourSize6', 'Mutation0.09', 'Crossover1']
[59, 2, 7.685597848296762, 77, 'PopulationSize12', 'TourSize7', 'Mutation0.09', 'Crossover1']
[60, 2, 6.225790240118679, 31, 'PopulationSize12', 'TourSize8', 'Mutation0.09', 'Crossover1']
[61, 2, 6.464772975121851, 29, 'PopulationSize12', 'TourSize9', 'Mutation0.09', 'Crossover1']
[62, 2, 6.421643515208379, 50, 'PopulationSize12', 'TourSize10', 'Mutation0.09', 'Crossover1']
[63, 4, 7.641579656704377, 95, 'PopulationSize12', 'TourSize11', 'Mutation0.09', 'Crossover1']
[64, 1, 9.09748218039263, 21, 'PopulationSize12', 'TourSize12', 'Mutation0.09', 'Crossover1']
[65, 2, 7.088828193083081, 40, 'PopulationSize12', 'TourSize13', 'Mutation0.09', 'Crossover1']
[66, 5, 7.356676540630111, 38, 'PopulationSize12', 'TourSize14', 'Mutation0.09', 'Crossover1']
[67, 2, 7.088828193083081, 18, 'PopulationSize12', 'TourSize15', 'Mutation0.09', 'Crossover1']
[68, 4, 9.09748218039263, 22, 'PopulationSize12', 'TourSize16', 'Mutation0.09', 'Crossover1']
[69, 2, 7.641579656704377, 27, 'PopulationSize12', 'TourSize17', 'Mutation0.09', 'Crossover1']
[70, 2, 5.522239027087474, 19, 'PopulationSize12', 'TourSize18', 'Mutation0.09', 'Crossover1']
[71, 2, 7.476537479025902, 32, 'PopulationSize12', 'TourSize19', 'Mutation0.09', 'Crossover1']
[72, 5, 7.641579656704377, 196, 'PopulationSize14', 'TourSize2', 'Mutation0.09', 'Crossover1']
[73, 2, 9.09748218039263, 219, 'PopulationSize14', 'TourSize3', 'Mutation0.09', 'Crossover1']
[74, 3, 7.088828193083081, 177, 'PopulationSize14', 'TourSize4', 'Mutation0.09', 'Crossover1']
[75, 2, 7.471101874382642, 106, 'PopulationSize14', 'TourSize5', 'Mutation0.09', 'Crossover1']
[76, 3, 6.944800058615954, 118, 'PopulationSize14', 'TourSize6', 'Mutation0.09', 'Crossover1']
[77, 1, 6.944800058615954, 63, 'PopulationSize14', 'TourSize7', 'Mutation0.09', 'Crossover1']
[78, 3, 6.065811688995673, 48, 'PopulationSize14', 'TourSize8', 'Mutation0.09', 'Crossover1']
[79, 8, 7.581495120179696, 62, 'PopulationSize14', 'TourSize9', 'Mutation0.09', 'Crossover1']
[80, 2, 6.8036817366775955, 49, 'PopulationSize14', 'TourSize10', 'Mutation0.09', 'Crossover1']
[81, 1, 7.471101874382642, 30, 'PopulationSize14', 'TourSize11', 'Mutation0.09', 'Crossover1']
[82, 0, 7.010830948650412, 36, 'PopulationSize14', 'TourSize12', 'Mutation0.09', 'Crossover1']
[83, 4, 6.771553761659426, 42, 'PopulationSize14', 'TourSize13', 'Mutation0.09', 'Crossover1']
[84, 1, 7.641579656704377, 23, 'PopulationSize14', 'TourSize14', 'Mutation0.09', 'Crossover1']
[85, 3, 9.09748218039263, 35, 'PopulationSize14', 'TourSize15', 'Mutation0.09', 'Crossover1']
[86, 1, 4.582132006919384, 30, 'PopulationSize14', 'TourSize16', 'Mutation0.09', 'Crossover1']
[87, 2, 7.088828193083081, 22, 'PopulationSize14', 'TourSize17', 'Mutation0.09', 'Crossover1']
[88, 1, 6.32871528171942, 30, 'PopulationSize14', 'TourSize18', 'Mutation0.09', 'Crossover1']
[89, 1, 6.660433542414868, 27, 'PopulationSize14', 'TourSize19', 'Mutation0.09', 'Crossover1']
[90, 4, 7.271909616058404, 258, 'PopulationSize16', 'TourSize2', 'Mutation0.09', 'Crossover1']
[91, 3, 7.476537479025902, 202, 'PopulationSize16', 'TourSize3', 'Mutation0.09', 'Crossover1']
[92, 3, 9.09748218039263, 163, 'PopulationSize16', 'TourSize4', 'Mutation0.09', 'Crossover1']
[93, 1, 6.897269994926782, 104, 'PopulationSize16', 'TourSize5', 'Mutation0.09', 'Crossover1']
[94, 3, 9.09748218039263, 88, 'PopulationSize16', 'TourSize6', 'Mutation0.09', 'Crossover1']
[95, 4, 7.471101874382642, 52, 'PopulationSize16', 'TourSize7', 'Mutation0.09', 'Crossover1']
[96, 0, 6.8036817366775955, 60, 'PopulationSize16', 'TourSize8', 'Mutation0.09', 'Crossover1']
[97, 2, 6.464772975121851, 52, 'PopulationSize16', 'TourSize9', 'Mutation0.09', 'Crossover1']
[98, 3, 9.09748218039263, 40, 'PopulationSize16', 'TourSize10', 'Mutation0.09', 'Crossover1']
[99, 0, 7.581495120179696, 61, 'PopulationSize16', 'TourSize11', 'Mutation0.09', 'Crossover1']
[100, 1, 7.088828193083081, 38, 'PopulationSize16', 'TourSize12', 'Mutation0.09', 'Crossover1']
[101, 2, 7.685597848296762, 28, 'PopulationSize16', 'TourSize13', 'Mutation0.09', 'Crossover1']
[102, 5, 6.421643515208379, 49, 'PopulationSize16', 'TourSize14', 'Mutation0.09', 'Crossover1']
[103, 2, 7.356676540630111, 35, 'PopulationSize16', 'TourSize15', 'Mutation0.09', 'Crossover1']
[104, 0, 6.421643515208379, 26, 'PopulationSize16', 'TourSize16', 'Mutation0.09', 'Crossover1']
[105, 2, 9.09748218039263, 22, 'PopulationSize16', 'TourSize17', 'Mutation0.09', 'Crossover1']
[106, 1, 9.09748218039263, 24, 'PopulationSize16', 'TourSize18', 'Mutation0.09', 'Crossover1']
[107, 4, 6.558995757947332, 39, 'PopulationSize16', 'TourSize19', 'Mutation0.09', 'Crossover1']
[108, 3, 6.464772975121851, 348, 'PopulationSize18', 'TourSize2', 'Mutation0.09', 'Crossover1']
[109, 5, 7.685597848296762, 258, 'PopulationSize18', 'TourSize3', 'Mutation0.09', 'Crossover1']
[110, 1, 9.09748218039263, 201, 'PopulationSize18', 'TourSize4', 'Mutation0.09', 'Crossover1']
[111, 2, 6.464772975121851, 134, 'PopulationSize18', 'TourSize5', 'Mutation0.09', 'Crossover1']
[112, 2, 9.09748218039263, 175, 'PopulationSize18', 'TourSize6', 'Mutation0.09', 'Crossover1']
[113, 3, 7.641579656704377, 111, 'PopulationSize18', 'TourSize7', 'Mutation0.09', 'Crossover1']
[114, 3, 6.935710625221609, 136, 'PopulationSize18', 'TourSize8', 'Mutation0.09', 'Crossover1']
[115, 4, 9.09748218039263, 54, 'PopulationSize18', 'TourSize9', 'Mutation0.09', 'Crossover1']
[116, 3, 7.476537479025902, 58, 'PopulationSize18', 'TourSize10', 'Mutation0.09', 'Crossover1']
[117, 1, 6.656224102475287, 35, 'PopulationSize18', 'TourSize11', 'Mutation0.09', 'Crossover1']
[118, 3, 7.471101874382642, 75, 'PopulationSize18', 'TourSize12', 'Mutation0.09', 'Crossover1']
[119, 2, 7.581495120179696, 45, 'PopulationSize18', 'TourSize13', 'Mutation0.09', 'Crossover1']
[120, 2, 9.09748218039263, 38, 'PopulationSize18', 'TourSize14', 'Mutation0.09', 'Crossover1']
[121, 2, 6.012892083734584, 30, 'PopulationSize18', 'TourSize15', 'Mutation0.09', 'Crossover1']
[122, 1, 6.416391094728476, 36, 'PopulationSize18', 'TourSize16', 'Mutation0.09', 'Crossover1']
[123, 4, 7.581495120179696, 39, 'PopulationSize18', 'TourSize17', 'Mutation0.09', 'Crossover1']
[124, 0, 6.8036817366775955, 28, 'PopulationSize18', 'TourSize18', 'Mutation0.09', 'Crossover1']
[125, 1, 7.471101874382642, 40, 'PopulationSize18', 'TourSize19', 'Mutation0.09', 'Crossover1']
[126, 2, 7.356676540630111, 292, 'PopulationSize20', 'TourSize2', 'Mutation0.09', 'Crossover1']
[127, 5, 6.3601724534063955, 298, 'PopulationSize20', 'TourSize3', 'Mutation0.09', 'Crossover1']
[128, 5, 9.09748218039263, 198, 'PopulationSize20', 'TourSize4', 'Mutation0.09', 'Crossover1']
[129, 2, 7.581495120179696, 157, 'PopulationSize20', 'TourSize5', 'Mutation0.09', 'Crossover1']
[130, 3, 6.771553761659426, 95, 'PopulationSize20', 'TourSize6', 'Mutation0.09', 'Crossover1']
[131, 3, 6.114426742032601, 82, 'PopulationSize20', 'TourSize7', 'Mutation0.09', 'Crossover1']
[132, 1, 6.935710625221609, 87, 'PopulationSize20', 'TourSize8', 'Mutation0.09', 'Crossover1']
[133, 2, 7.581495120179696, 81, 'PopulationSize20', 'TourSize9', 'Mutation0.09', 'Crossover1']
[134, 6, 7.685597848296762, 89, 'PopulationSize20', 'TourSize10', 'Mutation0.09', 'Crossover1']
[135, 3, 6.635355971657413, 54, 'PopulationSize20', 'TourSize11', 'Mutation0.09', 'Crossover1']
[136, 3, 6.944800058615954, 56, 'PopulationSize20', 'TourSize12', 'Mutation0.09', 'Crossover1']
[137, 8, 9.09748218039263, 81, 'PopulationSize20', 'TourSize13', 'Mutation0.09', 'Crossover1']
[138, 3, 6.469317379411426, 68, 'PopulationSize20', 'TourSize14', 'Mutation0.09', 'Crossover1']
[139, 1, 6.935710625221609, 26, 'PopulationSize20', 'TourSize15', 'Mutation0.09', 'Crossover1']
[140, 3, 6.558995757947332, 59, 'PopulationSize20', 'TourSize16', 'Mutation0.09', 'Crossover1']
[141, 0, 6.558995757947332, 31, 'PopulationSize20', 'TourSize17', 'Mutation0.09', 'Crossover1']
[142, 2, 9.09748218039263, 31, 'PopulationSize20', 'TourSize18', 'Mutation0.09', 'Crossover1']
[143, 1, 9.09748218039263, 29, 'PopulationSize20', 'TourSize19', 'Mutation0.09', 'Crossover1']
[144, 4, 7.685597848296762, 431, 'PopulationSize22', 'TourSize2', 'Mutation0.09', 'Crossover1']
[145, 3, 7.685597848296762, 350, 'PopulationSize22', 'TourSize3', 'Mutation0.09', 'Crossover1']
[146, 3, 9.09748218039263, 230, 'PopulationSize22', 'TourSize4', 'Mutation0.09', 'Crossover1']
[147, 2, 7.471101874382642, 162, 'PopulationSize22', 'TourSize5', 'Mutation0.09', 'Crossover1']
[148, 2, 7.356676540630111, 129, 'PopulationSize22', 'TourSize6', 'Mutation0.09', 'Crossover1']
[149, 1, 7.581495120179696, 120, 'PopulationSize22', 'TourSize7', 'Mutation0.09', 'Crossover1']
[150, 0, 5.662108243241147, 90, 'PopulationSize22', 'TourSize8', 'Mutation0.09', 'Crossover1']
[151, 3, 6.558995757947332, 95, 'PopulationSize22', 'TourSize9', 'Mutation0.09', 'Crossover1']
[152, 0, 7.581495120179696, 36, 'PopulationSize22', 'TourSize10', 'Mutation0.09', 'Crossover1']
[153, 4, 7.471101874382642, 76, 'PopulationSize22', 'TourSize11', 'Mutation0.09', 'Crossover1']
[154, 7, 6.464772975121851, 67, 'PopulationSize22', 'TourSize12', 'Mutation0.09', 'Crossover1']
[155, 1, 7.471101874382642, 49, 'PopulationSize22', 'TourSize13', 'Mutation0.09', 'Crossover1']
[156, 1, 7.471101874382642, 40, 'PopulationSize22', 'TourSize14', 'Mutation0.09', 'Crossover1']
[157, 2, 5.835277296766697, 65, 'PopulationSize22', 'TourSize15', 'Mutation0.09', 'Crossover1']
[158, 0, 6.660433542414868, 42, 'PopulationSize22', 'TourSize16', 'Mutation0.09', 'Crossover1']
[159, 2, 9.09748218039263, 44, 'PopulationSize22', 'TourSize17', 'Mutation0.09', 'Crossover1']
[160, 0, 7.581495120179696, 29, 'PopulationSize22', 'TourSize18', 'Mutation0.09', 'Crossover1']
[161, 4, 6.469317379411426, 40, 'PopulationSize22', 'TourSize19', 'Mutation0.09', 'Crossover1']
[162, 2, 7.685597848296762, 419, 'PopulationSize24', 'TourSize2', 'Mutation0.09', 'Crossover1']
[163, 3, 7.641579656704377, 376, 'PopulationSize24', 'TourSize3', 'Mutation0.09', 'Crossover1']
